problem,searcher,dataset,cv,seed,time_budget_s,concurrency,best_result,worst_result,num_trials,avg_time_per_iter,best_result_normalized,worst_result_normalized,best_result_normalized_1m,best_result_normalized_5m,best_result_normalized_10m,best_result_normalized_30m
CIFARProblem,BOHBSearcher,cifar10,1,1000,3600.0,8,-0.36520017494883716,-1.287175248382957,38,53.673946255131774,0.9851146151633174,0.8404900951370554,0.8680830374610721,0.9369652118203451,0.9427211627932524,0.9851146151633174
CIFARProblem,SkOptSearcher,cifar10,1,1000,3600.0,8,-0.34003823658653126,-1.9779800297338752,24,54.17305072148641,0.9890616126076458,0.7321278272043721,0.9880210314953928,0.9880210314953928,0.9880210314953928,0.9890616126076458
CIFARProblem,HyperOptSearcher,cifar10,1,4000,3600.0,8,-0.36576943231534353,-1.1900916259000256,24,54.59360755483309,0.9850253192856147,0.8557190017621628,0.9796162866354728,0.981877229914441,0.981877229914441,0.9850253192856147
CIFARProblem,ASHAHyperOptSearcher,cifar10,1,1000,3600.0,8,-0.3497086381836302,-1.8286784208273585,110,54.06984743284523,0.9875446765973995,0.7555478459764919,0.9022139507872787,0.9022139507872787,0.9543495471142808,0.9875446765973995
CIFARProblem,ASHARandomSearch,cifar10,1,1,3600.0,8,-0.35650236719543005,-1.8574836299389224,91,54.103349426057605,0.9864789864005266,0.7510293512123125,0.8850246434495804,0.8850246434495804,0.9533004101017913,0.9842185572344523
CIFARProblem,BOHBSearcher,cifar10,1,1,3600.0,8,-0.373403789499138,-1.4548201908039142,38,52.977630502299256,0.9838277649533671,0.8141926712358292,0.8452595841216607,0.9378993500076569,0.9779154511233475,0.9802612170112883
CIFARProblem,ASHASkOptSearcher,cifar10,1,1,3600.0,8,-0.33944226469203925,-3.282443227647226,76,56.24116773801307,0.989155099027912,0.527504763819978,0.8447105056714356,0.8941394651908853,0.9555445980052888,0.9888132618873617
CIFARProblem,BOHBSearcher,cifar10,1,4000,3600.0,8,-0.34557418558438113,-2.212962705877763,38,54.41652225820642,0.9881932225721953,0.6952675500330883,0.8541147991122633,0.9392242919709962,0.9537717006249731,0.9881932225721953
CIFARProblem,BlendSearchSearcher,cifar10,1,1,3600.0,8,-0.339136050859834,-1.0612646804493704,24,54.92117875814438,0.9892031328954038,0.8759272868764802,0.9222931357578847,0.9892031328954038,0.9892031328954038,0.9892031328954038
CIFARProblem,ASHAHEBOSearcher,cifar10,1,1000,3600.0,8,-0.38951430151796645,-1.6854818133032246,24,55.02198333541552,0.9813006087045307,0.7780102109897113,0.8863792317123695,0.967731616764274,0.967731616764274,0.9763632586185289
CIFARProblem,PBTSearcher,cifar10,1,1,3600.0,8,-0.30134618216300313,-1.456184687887787,33,59.19052099459099,0.9951309955671978,0.813978631028541,0.9889692095194246,0.9909036856070155,0.9909036856070155,0.9951309955671978
CIFARProblem,ASHABlendSearchSearcher,cifar10,1,4000,3600.0,8,-0.3193302968884729,-3.131840805464153,80,56.160265861413414,0.992309938864894,0.5511288331149227,0.8634448051052386,0.8962307457468304,0.9630178643999956,0.992309938864894
CIFARProblem,RandomSearch,cifar10,1,1000,3600.0,8,-0.3402623038762694,-1.6133603571326869,24,54.2299208243688,0.9890264645595416,0.7893234571747823,0.9753537025142256,0.984547357099392,0.984547357099392,0.9890264645595416
CIFARProblem,PBTSearcher,cifar10,1,4000,3600.0,8,-0.2703064890413345,-0.5145212291162226,30,57.37409293651581,0.9999999999999999,0.9616915461335486,0.98626715334871,0.9906561544959338,0.9980781285086819,0.9993328489938557
CIFARProblem,RandomSearch,cifar10,1,1,3600.0,8,-0.33282844552510904,-0.7790317254461301,24,54.74407511949539,0.9901925678815926,0.9201994226739281,0.9901925678815926,0.9901925678815926,0.9901925678815926,0.9901925678815926
CIFARProblem,ASHABlendSearchSearcher,cifar10,1,1000,3600.0,8,-0.3410120683757565,-3.1704977886586247,79,55.72307124199011,0.9889088536457593,0.5450649515618786,0.8274270519933087,0.8620079186181282,0.9557479739900604,0.9889088536457593
CIFARProblem,ASHAOptunaTPESearcher,cifar10,1,1000,3600.0,8,-0.3262758245513697,-1.558480999137782,72,55.70557780947004,0.9912204369537045,0.7979320421984528,0.8688497134825175,0.8997597863598936,0.9448284209833494,0.9912204369537045
CIFARProblem,ASHAAxSearcher,cifar10,1,4000,3600.0,8,-0.3461688002156224,-1.1563557461847234,28,55.81287573916571,0.9880999490574097,0.8610109402885658,0.867995753775238,0.9585889674128111,0.9585889674128111,0.9869946693653726
CIFARProblem,HyperOptSearcher,cifar10,1,1,3600.0,8,-0.34766556493415957,-1.4806491554163064,24,54.32072067260742,0.9878651608453983,0.8101410415145084,0.9698740160902825,0.9878651608453983,0.9878651608453983,0.9878651608453983
CIFARProblem,ASHACFOSearcher,cifar10,1,1000,3600.0,8,-0.34852914687744374,-6.645263330845893,59,56.272394320060464,0.9877296960940731,0.0,0.8581995335158347,0.8843099182599957,0.9611150512102636,0.9841689204610546
CIFARProblem,ASHASkOptSearcher,cifar10,1,1000,3600.0,8,-0.3634376303785166,-1.72011038321483,65,56.22937268680997,0.9853910946147174,0.7725782416805977,0.8955355951229814,0.8955355951229814,0.9626016909292773,0.984687414640218
CIFARProblem,ASHABlendSearchSearcher,cifar10,1,1,3600.0,8,-0.3279370367527008,-3.3571855539008033,81,54.08174031163439,0.9909598528834819,0.5157803979758918,0.8254324453764178,0.9645721346467542,0.9645721346467542,0.9909598528834819
CIFARProblem,BlendSearchSearcher,cifar10,1,1000,3600.0,8,-0.32873872411289035,-1.3875455560198255,24,54.71273162961006,0.9908340971520968,0.8247456265661188,0.982672292643269,0.9908340971520968,0.9908340971520968,0.9908340971520968
CIFARProblem,HEBOSearcher,cifar10,1,1,3600.0,8,-0.35191240593506273,-1.880008091592485,24,54.948501904805504,0.9871989851980506,0.7474960784055296,0.973498667188787,0.9871989851980506,0.9871989851980506,0.9871989851980506
CIFARProblem,OptunaTPESearcher,cifar10,1,1,3600.0,8,-0.33188512195257625,-2.10788134860385,24,54.54270897308985,0.9903405412084624,0.7117510117853043,0.9775830406777992,0.9827414821064027,0.9827414821064027,0.9903405412084624
CIFARProblem,SkOptSearcher,cifar10,1,4000,3600.0,8,-0.3324293535036646,-0.8999494333176097,24,53.8504608074824,0.9902551709754406,0.9012318106771617,0.9790453199510641,0.9902551709754406,0.9902551709754406,0.9902551709754406
CIFARProblem,HyperOptSearcher,cifar10,1,1000,3600.0,8,-0.3284380908248721,-0.7909475574447851,24,55.83068287372589,0.9908812556341821,0.9183302599024226,0.971405674692948,0.9905159439550314,0.9905159439550314,0.9908812556341821
CIFARProblem,ASHAHEBOSearcher,cifar10,1,4000,3600.0,8,-0.3380128606964069,-1.5436496157555064,32,56.07711410522461,0.9893793207804827,0.8002585494596498,0.8584999656828409,0.965083723250238,0.9818515530529441,0.9857353507286721
CIFARProblem,CFOSearcher,cifar10,1,4000,3600.0,8,-0.33834778156819617,-1.809795032640931,24,55.32532785336176,0.9893267838174726,0.7585099661374627,0.9872515115926755,0.9893267838174726,0.9893267838174726,0.9893267838174726
CIFARProblem,ASHACFOSearcher,cifar10,1,4000,3600.0,8,-0.34867214551492104,-4.159910642648045,106,55.01921872450755,0.9877072647833951,0.38986188453855,0.8276041376462058,0.8480656590164455,0.9636068953630953,0.9877072647833951
CIFARProblem,CFOSearcher,cifar10,1,1000,3600.0,8,-0.36517324628709236,-2.002641478921198,24,54.824838836987816,0.9851188392957175,0.7282593383974201,0.9602271391272318,0.9851188392957175,0.9851188392957175,0.9851188392957175
CIFARProblem,ASHAOptunaTPESearcher,cifar10,1,4000,3600.0,8,-0.3347754129178964,-2.1368162405641775,80,55.17256622436719,0.9898871591641532,0.7072121744757585,0.8490021941285338,0.8832411817004433,0.959315114427632,0.9879628727682535
CIFARProblem,OptunaTPESearcher,cifar10,1,1000,3600.0,8,-0.3266849295491246,-1.170650392960591,24,53.66133266687393,0.9911562631862726,0.8587686275748344,0.9906435935863592,0.9906435935863592,0.9906435935863592,0.9911562631862726
CIFARProblem,ASHACFOSearcher,cifar10,1,1,3600.0,8,-0.35516205995897704,-4.724331387990637,120,54.53257139254425,0.9866892320962564,0.3013246976447761,0.8732693298477896,0.8934733834882995,0.9629619183736299,0.9866892320962564
CIFARProblem,AxSearcher,cifar10,1,4000,3600.0,8,-0.3485249459363852,-0.7837068419547597,11,55.78386519171975,0.9877303550696808,0.9194660660999711,0.9844231547656318,0.9877303550696808,0.9877303550696808,0.9877303550696808
CIFARProblem,PBTSearcher,cifar10,1,1000,3600.0,8,-0.2796458797175673,-0.641780354984247,26,60.27095876290248,0.9985349876229767,0.9417291951677339,0.9918907650414189,0.9968691277732666,0.9968691277732666,0.9985349876229767
CIFARProblem,AxSearcher,cifar10,1,1000,3600.0,8,-0.3463721322485163,-0.7955819729027475,11,51.53584146499634,0.9880680536206343,0.9176032878502243,0.9756304907536474,0.9841792200920895,0.9841792200920895,0.9859316519915854
CIFARProblem,ASHAHEBOSearcher,cifar10,1,1,3600.0,8,-0.3418941100122063,-1.6494760285517214,33,56.45489599555731,0.9887704932366871,0.7836582154617402,0.867352585804873,0.983687899998832,0.983687899998832,0.9887704932366871
CIFARProblem,HEBOSearcher,cifar10,1,4000,3600.0,8,-0.33354154006121267,-1.322995213186665,24,56.2404451072216,0.9900807091578712,0.8348712390894639,0.97839899461445,0.9822476418952922,0.987844805769792,0.9900807091578712
CIFARProblem,CFOSearcher,cifar10,1,1,3600.0,8,-0.3411606081826672,-1.6422330323298266,24,53.90229179461797,0.9888855531261485,0.7847943794235724,0.9586710237255538,0.9888855531261485,0.9888855531261485,0.9888855531261485
CIFARProblem,BlendSearchSearcher,cifar10,1,4000,3600.0,8,-0.3320532539222814,-1.660555838029596,24,53.58297070860863,0.9903141673876071,0.7819201943656258,0.9432339704668914,0.9903141673876071,0.9903141673876071,0.9903141673876071
CIFARProblem,RandomSearch,cifar10,1,4000,3600.0,8,-0.3308623394673797,-1.770517063748305,24,54.85707172751427,0.9905009787628768,0.7646712578712445,0.9808036901199993,0.9905009787628768,0.9905009787628768,0.9905009787628768
CIFARProblem,OptunaTPESearcher,cifar10,1,4000,3600.0,8,-0.33581507451172116,-1.1937963328543741,24,53.768521308898926,0.9897240738884997,0.8551378673252903,0.9588857318499653,0.988130321901449,0.988130321901449,0.9897240738884997
CIFARProblem,ASHARandomSearch,cifar10,1,4000,3600.0,8,-0.3413952754656221,-2.630368012416212,106,55.02248150280544,0.9888487423227535,0.6297917645656068,0.8569162120016722,0.9625183264713892,0.9662152818939312,0.9888379964563606
CIFARProblem,ASHAHyperOptSearcher,cifar10,1,4000,3600.0,8,-0.3321526298762127,-1.5583595731590367,78,55.111248793540064,0.990298578897144,0.7979510895397539,0.8685575038381099,0.8833357929631321,0.9549161672789681,0.9899379994396065
CIFARProblem,ASHAHyperOptSearcher,cifar10,1,1,3600.0,8,-0.3242749096766399,-1.629679865138546,75,55.394065412315165,0.9915343080785424,0.7867635170197615,0.8579676026835885,0.8841995932237607,0.9617469229958874,0.9915343080785424
CIFARProblem,ASHARandomSearch,cifar10,1,1000,3600.0,8,-0.33360747997737994,-4.701568280594258,102,54.18732069253922,0.9900703655715845,0.3048954053313141,0.8730813663265824,0.893819948305947,0.9626674305486724,0.9900703655715845
CIFARProblem,ASHASkOptSearcher,cifar10,1,4000,3600.0,8,-0.3219361075550128,-1.501863342297228,71,57.736801859310695,0.991901181483283,0.8068133033968466,0.8068133033968466,0.8902066839953853,0.9545068348988381,0.991901181483283
CIFARProblem,ASHAAxSearcher,cifar10,1,1000,3600.0,8,-0.3790872853390778,-1.3447399393768067,21,53.60170652752831,0.9829362301585478,0.831460278555967,0.831460278555967,0.9394398734151425,0.95121713866614,0.9829362301585478
CIFARProblem,AxSearcher,cifar10,1,1,3600.0,8,-0.33503215237977396,-0.6121883648860303,11,53.08540693196383,0.9898468860347425,0.9463711073927961,0.9844941531805861,0.9898468860347425,0.9898468860347425,0.9898468860347425
CIFARProblem,SkOptSearcher,cifar10,1,1,3600.0,8,-0.3220753782912146,-0.8168285912389208,24,55.95514396826426,0.9918793349453914,0.9142704624110235,0.9736498703579274,0.9917187957823547,0.9917187957823547,0.9918793349453914
CIFARProblem,HEBOSearcher,cifar10,1,1000,3600.0,8,-0.3495604165705146,-1.5088602023519528,24,56.652185360590614,0.9875679272039203,0.8057157492912499,0.9784240318710637,0.9863433178515982,0.9863433178515982,0.9875679272039203
CIFARProblem,ASHAAxSearcher,cifar10,1,1,3600.0,8,-0.37290388364700755,-1.5749345607818312,25,50.926631450653076,0.9839061820885,0.7953510738793965,0.860640853801184,0.8620957991533216,0.9510162632840435,0.9792946798083458
CIFARProblem,ASHAOptunaTPESearcher,cifar10,1,1,3600.0,8,-0.3222671141195449,-2.053873249247104,80,55.827946250255295,0.9918492585334111,0.720222927862066,0.8588256486135487,0.8688261508999138,0.9362712258823793,0.9918492585334111
